职位名称,工作地点,工资,工作经验,学历要求,公司名称,公司类型,公司规模,技术需求,标签
C＋＋开发工程师,厦门·思明区·软件园,7-12K,1-3年,本科,易联众智能,互联网不需要融资,20-99人,C++ Linux 计算机软件 嵌入式技术,后端开发_C#
C语言工程师,厦门·集美区·大学康城,6-8K,1-3年,本科,爱梯囊网络,互联网天使轮,0-20人,Javascript 数据库 C/C++,后端开发_C#
C/C++开发工程师,厦门·思明区·软件园,8-16K,3-5年,本科,万物云联,互联网未融资,100-499人,Linux C/C++ 协议,后端开发_C#
C/C++开发工程师,厦门·思明区·软件园,8-13K,1-3年,本科,仪电物联,计算机服务未融资,100-499人,C++ Go SQL,后端开发_C#
c/c++研发工程师,厦门·集美区·杏林,8-14k,1-3年,本科,厦门天锐科技,信息安全已上市,100-499人,C++ Objective-C Swift,后端开发_C#
嵌入式C/C++工程师,厦门·集美区·集美新城,8-13K,经验不限,本科,新诺北斗航科,数据服务已上市,100-499人,嵌入式技术 Linux,后端开发_C#
C++/ QT开发工程师,厦门,10-15K,3-5年,大专,厦门美亚亿安信息科技,计算机服务已上市,20-99人,QT MFC 客户端开发,后端开发_C#
C/C++研发工程师（美图宜肤）-- 厦门,厦门·思明区·软件园,12-18k,经验不限,本科,美图公司,互联网已上市,1000-9999人,SDK 框架 开发 工程 C++ 性能 图像,后端开发_C#
C/C++算法工程师,厦门·思明区·软件园,15-20K,1-3年,本科,芜湖盟博,计算机软件不需要融资,100-499人,运动控制算法 算法设计 C++ 车载,后端开发_C#
C++开发工程师,厦门·思明区·软件园,15-30K,3-5年,本科,白山云科技,互联网C轮,500-999人,Linux C++ 数据结构 网络协议 中级软件工程师,后端开发_C#
C++开发工程师,厦门·思明区·观音山,15-30K,经验不限,本科,RingCentral铃盛,计算机软件已上市,500-999人,C++ QT 客户端开发 iOS Android,后端开发_C#
C++开发工程师,厦门·海沧区·东孚,9-14K,3-5年,本科,盈趣科技,智能硬件已上市,1000-9999人,数据结构 嵌入式技术 Linux Makefile 人工智能,后端开发_C#
C++开发工程师,厦门·思明区·观音山,7-12K,1-3年,本科,瑞达期货股份有限公司,互联网金融已上市,1000-9999人,SQL 多线程 网络协议 网络编程 Socket技术,后端开发_C#
C++开发工程师,厦门·思明区·莲前,8-14k,经验不限,本科,智业软件,医疗健康不需要融资,1000-9999人,C++ Oracle 计算机软件,后端开发_C#
资深 C++/QT 开发工程师,厦门·思明区·轮渡,20-40K,3-5年,本科,芯华章,电子/半导体/集成电路A轮,100-499人,QT C++ C/C++ EDA python,后端开发_C#
QT/C++/C开发工程师,厦门·思明区·前埔,16-32k,3-5年,本科,创普云,计算机软件未融资,20-99人,C++ 网络协议 多线程 分布式技术 Linux,后端开发_C#
嵌入式应用工程师（C/C++）,厦门·思明区·曾厝垵,13-21k,1-3年,本科,星宸科技股份有限公司,电子/半导体/集成电路C轮,500-999人,网络协议 音视频编解码 流媒体技术 linux,后端开发_C#
C++/QT开发工程师,厦门·集美区·杏林,14-23k,经验不限,本科,影诺医疗,医疗健康A轮,20-99人,C++ Linux 互联网医疗 QT,后端开发_C#
虚拟化开发工程师,厦门,10-16k,经验不限,本科,翼石电子,智能硬件未融资,20-99人,虚拟机技术 Linux 驱动开发 网络协议,后端开发_C#
C＋＋开发工程师,厦门·湖里区·禾山,11-18K,1-3年,本科,yealink,通信/网络设备已上市,1000-9999人,数据结构 C++ Linux 多进程 Socket技术,后端开发_C#
C++开发工程师,厦门·思明区·软件园,18-30K,3-5年,本科,吉比特,游戏已上市,500-999人,游戏引擎 OpenGL C++ Shader 编程 计算机,后端开发_C#
C/C++研发工程师,厦门·集美区·后溪,8-13K,1-3年,本科,厦门天锐科技,信息安全已上市,100-499人,Linux Windows C++,后端开发_C#
C＋＋开发工程师,厦门·思明区·观音山,8-12K,1-3年,大专,云惠纵,计算机软件不需要融资,20-99人,数据结构 多线程 网络协议 网络编程 算法基础,后端开发_C#
c/c++软件工程师,厦门·集美区·集美新城,8-13K,1-3年,本科,微图,互联网天使轮,0-20人,数据结构 网络协议 嵌入式技术 驱动开发,后端开发_C#
嵌入式C开发工程师,厦门·湖里区·塘边,9-14K,1-3年,本科,日华科技,通信/网络设备不需要融资,100-499人,嵌入式 软件开发 单片机,后端开发_C#
C++/Java工程师,厦门·集美区·杏林,9-14k,经验不限,本科,卡伦特,计算机软件A轮,20-99人,C++ Java,后端开发_C#
嵌入式C语言开发工程师,厦门·湖里区·枋湖,8-10K,1-3年,本科,幻充共享充电宝,智能硬件不需要融资,20-99人,嵌入式技术 网络协议 单片机开发 嵌入式软件开发,后端开发_C#
C语言工程师,厦门·同安区·西柯,11-17k,1-3年,本科,红相股份,电力/热力/燃气/水利,100-499人,C++ QT C语言,后端开发_C#
C/C++应用工程师（音视频相关）,厦门·思明区·软件园,18-25k,3-5年,本科,星纵智能,计算机软件未融资,100-499人,SQL 多线程 嵌入式技术 音视频编解码 Linux,后端开发_C#
C++开发工程师,厦门·思明区·轮渡,20-40K,3-5年,本科,招银云创,计算机软件不需要融资,100-499人,VC++ QT GUI,后端开发_C#
c++开发工程师,厦门·湖里区·高崎,8-13k,3-5年,大专,畅享信息,计算机软件不需要融资,100-499人,C++,后端开发_C#
Linux平台开发工程师,厦门·湖里区·湖里大道,12-16K,5-10年,本科,同致电子科技(厦...,汽车零部件已上市,1000-9999人,C/C++ Linux,后端开发_C#
C＋＋研发 (P6 - P7),厦门·思明区·软件园,25-50k,1-3年,本科,厦门高德,互联网,100-499人,嵌入式技术 Linux 架构师 Unix Windows,后端开发_C#
软件工程师,厦门·同安区·梧侣,10-16k,1-3年,本科,蒙发利,医疗健康不需要融资,1000-9999人,单片机 嵌入式,后端开发_C#
C++/C软件工程师,厦门·海沧区·海沧,6-10K,1-3年,本科,厦门方寸在线,移动互联网未融资,0-20人,C/C++,后端开发_C#
C++开发工程师,厦门·思明区·软件园,14-28k,经验不限,大专,岭纬科技,电子/半导体/集成电路未融资,20-99人,C/C++ 图像识别 人脸识别,后端开发_C#
C++开发工程师,厦门·思明区,12-20K,1-3年,大专,4399游戏,游戏不需要融资,1000-9999人,C++ Linux 架构师 软件工程师 Windows,后端开发_C#
C++开发工程师,厦门·思明区·软件园,17-29k,3-5年,本科,GPU Cloud,互联网天使轮,20-99人,Linux 后端开发 c++,后端开发_C#
C/C++开发工程师,厦门·思明区·软件园,10-16k,1-3年,大专,芜湖盟博,计算机软件不需要融资,100-499人,C++ 嵌入式技术 Linux 软件工程师 智能驾驶,后端开发_C#
货运司机C,厦门·湖里区·金尚,8-12K,经验不限,学历不限,金懿阳,物流/仓储不需要融资,0-20人,八小时工作制 货运司机 C1驾驶证 司机 商务司机,后端开发_C#
C++开发工程师,厦门·集美区·大学康城,15-20K,1-3年,大专,探睿,计算机服务不需要融资,20-99人,C/C++ C#,后端开发_C#
货运司机C,厦门·湖里区·禾山,9-14K,1-3年,学历不限,轻狗科技,4S店/后市场不需要融资,0-20人,就近分配 环境好 C1驾驶证 八小时工作制,后端开发_C#
货运司机C,厦门·集美区·杏林,8-12K,经验不限,学历不限,义腾租赁,新能源不需要融资,20-99人,C1驾驶证 司机 物流配送 生鲜果蔬 交通运输,后端开发_C#
Python编程、C语言老师,厦门·集美区·杏林,5-6K,1-3年,本科,欣欣之成,培训机构,0-20人,教师资格证 学科带头人 高中教育 线下授课 全职,后端开发_C#
C++开发工程师,厦门·湖里区·塘边,6-11K,3-5年,大专,熙重电子,智能硬件C轮,100-499人,C/C++,后端开发_C#
嵌入式软件开发工程师,厦门,13-19k,1-3年,本科,jabra,通信/网络设备,1000-9999人,驱动开发 嵌入式技术,后端开发_C#
嵌入式软件工程师,厦门·集美区·杏林,7-12k,经验不限,本科,蚂蚁云创,其他服务业不需要融资,20-99人,嵌入式技术 数据结构 英语 C# 软件工程师,后端开发_C#
C++开发工程师,厦门·思明区·软件园,9-14K,3-5年,本科,福信光电,智能硬件未融资,100-499人,多线程 c/c++ Windows QT,后端开发_C#
C++开发工程师,厦门·思明区·软件园,20-40K,3-5年,本科,高德地图,互联网已上市,1000-9999人,C/C++ 跨平台,后端开发_C#
C/C++/Go高级开发工程师,厦门·集美区·杏林,14-28k,3-5年,本科,网聚云联,企业服务A轮,20-99人,C++ Python Shell Go Lua,后端开发_C#
C++开发工程师,厦门·湖里区·高崎,5-8K,1-3年,本科,畅享信息,计算机软件不需要融资,100-499人,C++ Python Shell Perl,后端开发_C#
MCU软件高级工程师,厦门·思明区·软件园,15-30k,5-10年,本科,厦门雅迅网络,通信/网络设备不需要融资,500-999人,嵌入式技术 驱动开发 单片机开发,后端开发_C#
C++开发工程师,厦门·思明区·软件园,10-16k,3-5年,本科,易联众智能,互联网不需要融资,20-99人,嵌入式,后端开发_C#
数据资产管理,厦门,17-35k,经验不限,本科,建信金科,银行不需要融资,1000-9999人,IT服务 金融 产品 数据管理 数据治理,后端开发_C#
嵌入式软件开发工程师,厦门·集美区·杏林,15-25K,5-10年,本科,四信智慧电力,互联网不需要融资,500-999人,C++ ARM 电力 电路 STM32 FreeRTOS,后端开发_C#
安全研发工程师,厦门·思明区·软件园,18-31k,经验不限,本科,中国电信云,计算机软件已上市,1000-9999人,Shell Linux 容器技术,后端开发_C#
软件工程师,厦门·集美区·后溪,14-23k,1-3年,本科,视尔沃,智能硬件不需要融资,1000-9999人,Linux Java Android,后端开发_C#
C++嵌入式研发工程师,厦门·思明区·软件园,15-30K,3-5年,本科,华云数据,数据服务D轮及以上,500-999人,网络协议 流媒体技术 驱动开发 C++ Android,后端开发_C#
组态软件开发工程师（双休&六险一金）,厦门·集美区·杏林,13-21k,3-5年,本科,厦门四信,通信/网络设备不需要融资,500-999人,嵌入式技术 Linux Windows,后端开发_C#
