职位名称,工作地点,工资,工作经验,学历要求,公司名称,公司类型,公司规模,技术需求,标签
测试员长白班,厦门·湖里区·大唐世家,4-6K,1-3年,学历不限,睿科集团,医疗设备/器械未融资,100-499人,硬件测试,测试_硬件测试
测试工程师,厦门·集美区·杏林,6-7k,经验不限,本科,鑫云,数据服务未融资,20-99人,功能测试 性能测试 硬件测试 Linux,测试_硬件测试
工序工艺工程师,厦门·湖里区·塘边,6-8K,经验不限,本科,厦门华联电子股份...,电子/半导体/集成电路未融资,1000-9999人,测试 硬件测试,测试_硬件测试
测试工程师,厦门·集美区·杏林,4-8K,1-3年,大专,银河龙芯充电桩运营,移动互联网,20-99人,软件测试 功能测试 性能测试 硬件测试 APP测试,测试_硬件测试
中级软件测试工程师,厦门·思明区·软件园,12-18k,经验不限,本科,美图公司,互联网已上市,1000-9999人,性能测试 功能测试,测试_硬件测试
软件测试,厦门·思明区·软件园,4-9K,1-3年,大专,芯泓电子科技,计算机软件不需要融资,20-99人,软件测试,测试_硬件测试
软件测试工程师,厦门·思明区·会展中心,5-10K,1-3年,本科,准动网络科技,互联网B轮,500-999人,软件测试 禅道 web端测试,测试_硬件测试
软件测试工程师（面向20-21届）,厦门·湖里区·高崎,4-6K,1-3年,本科,畅享信息,计算机软件不需要融资,100-499人,软件测试 SQL Oracle MySQL,测试_硬件测试
软件测试,厦门·集美区·杏林,6-11K,1-3年,大专,航铖,互联网未融资,20-99人,软件测试,测试_硬件测试
软件测试工程师,厦门·集美区·灌口,4-7K,3-5年,大专,天海图汇,计算机软件未融资,100-499人,测试工程师 自动化测试 性能测试 压力测试,测试_硬件测试
软件测试工程师,厦门·思明区·软件园,6-10K,1-3年,大专,医数通医疗科技,医疗设备/器械未融资,20-99人,自动化测试 性能测试 SQL Postman,测试_硬件测试
中级软件测试工程师,厦门,7-13k,3-5年,学历不限,旭康农业科技,农/林/牧/渔未融资,100-499人,功能测试 APP测试 小程序测试 接口测试 Jmeter,测试_硬件测试
软件测试工程师,厦门·集美区·杏林,6-10k,经验不限,大专,科路德,智能硬件未融资,20-99人,软件测试,测试_硬件测试
中级软件测试工程师,厦门·湖里区·禾山,9-11k,3-5年,本科,中远方舟,计算机软件天使轮,20-99人,软件测试 性能测试 压力测试 Jmeter Postman,测试_硬件测试
初级软件测试工程师,厦门·思明区·软件园,8-12K,1-3年,大专,彩虹梦投资,企业服务A轮,100-499人,接口测试,测试_硬件测试
测试工程师,厦门·思明区·软件园,4-8K,1-3年,本科,银河龙芯充电桩运营,移动互联网,20-99人,黑盒测试 硬件测试 白盒测试 CANoe GetNavDat,测试_硬件测试
软件测试工程师,厦门·湖里区·禾山,5-7k,1-3年,大专,斑马定制,电子商务不需要融资,100-499人,软件测试,测试_硬件测试
软件测试工程师,厦门·思明区·软件园,5-7K,1-3年,本科,医数通医疗科技,医疗设备/器械未融资,20-99人,自动化测试 性能测试 SQL,测试_硬件测试
初级软件测试工程师,厦门·湖里区·禾山,5-9k,1-3年,本科,中远方舟,计算机软件天使轮,20-99人,功能测试 软件测试 系统测试 web端测试,测试_硬件测试
测试部经理,厦门,21-29k,3-5年,本科,旷时科技,电子/半导体/集成电路天使轮,20-99人,性能测试 硬件测试 团队组建 团队管理和培养,测试_硬件测试
初级测试工程师（偏黑盒测试）,厦门·集美区·集美新城,6-9K,1-3年,本科,旷时科技,电子/半导体/集成电路天使轮,20-99人,功能测试 黑盒测试 电子电器类 射频类 产品检测,测试_硬件测试
资深软件测试工程师（白盒测试）,厦门·海沧区·东孚,9-13K,3-5年,本科,盈趣科技,智能硬件已上市,1000-9999人,白盒测试 Java C/C++,测试_硬件测试
软件测试助理?程师（?盒测试）,厦门·海沧区·东孚,5-7K,经验不限,本科,盈趣科技,智能硬件已上市,1000-9999人,Java C/C++ 白盒测试,测试_硬件测试
软件测试工程师,厦门,6-11k,1-3年,本科,厦门雅迅网络,通信/网络设备不需要融资,500-999人,软件测试 自动化测试 Python UiAutomator 物联网,测试_硬件测试
软件测试工程师,厦门·海沧区·东孚,4-7k,1-3年,本科,盈趣科技,智能硬件已上市,1000-9999人,软件测试 自动化测试,测试_硬件测试
硬件工程师,厦门·思明区·软件园,9-14K,1-3年,本科,厦门雅迅网络,通信/网络设备不需要融资,500-999人,PCB设计 硬件 车载领域 电路设计 硬件测试,测试_硬件测试
移动web前端,厦门·思明区·前埔,4-9K,1-3年,本科,喜合科技,移动互联网,100-499人,小程序 移动端 HTML5 vue,移动开发_移动web前端
web前端开发,厦门,10-15K,3-5年,大专,威尔软件,计算机软件不需要融资,100-499人,前端开发 WEB开发 HTML CSS JavaScript,移动开发_移动web前端
web前端开发工程师,厦门·思明区·观音山,8-14k,3-5年,本科,厦门卫星定位,计算机服务已上市,100-499人,前端开发 Vue Web端 JavaScript PC端,移动开发_移动web前端
WEB前端,厦门·思明区·软件园,8-11K,1-3年,本科,易联众保睿通,计算机软件,100-499人,前端开发 WEB开发,移动开发_移动web前端
web前端开发,厦门·思明区·观音山,4-6K,经验不限,大专,厦门智汇祥盈,计算机软件,20-99人,前端开发 WEB开发 HTML5 SQL Vue Vue.js,移动开发_移动web前端
React Native移动开发工程师,厦门·思明区·软件园,15-28K,3-5年,本科,畅拓科技,互联网不需要融资,100-499人,Javascript iOS Android,移动开发_移动开发
安卓开发,厦门·思明区·松柏,9-12K,3-5年,本科,青菜科技,互联网不需要融资,20-99人,Android 移动开发 移动端,移动开发_移动开发
APP开发运维主管,厦门·湖里区·翔鹭,8-13K,经验不限,本科,豪美特实业,医疗设备/器械未融资,20-99人,移动开发 WEB开发 嵌入式技术 前端开发,移动开发_移动开发
移动开发工程师,厦门·思明区·软件园,18-37k,1-3年,硕士,建信金科,银行不需要融资,1000-9999人,移动端 Android IOS 小程序,移动开发_移动开发
产品boss（创业优先）,厦门·思明区·软件园,16-30K,5-10年,本科,易联众易惠科技,医疗健康已上市,100-499人,小程序开发 移动开发 分布式技术 多线程,移动开发_移动开发
Web开发工程师,厦门·集美区·杏林,10-15K,1-3年,本科,硕橙厦门,企业服务,20-99人,web 前端开发 移动开发,移动开发_移动开发
产品经理,厦门·思明区·前埔,7-10K,1-3年,大专,盏行天下,互联网未融资,20-99人,移动开发,移动开发_移动开发
移动端开发工程师,厦门·思明区·火车站,7-14K,1-3年,大专,益客联,互联网不需要融资,20-99人,HTML/CSS HTML5 JS,移动开发_移动开发
移动端开发工程师,厦门·集美区·集美新城,5-10K,1-3年,本科,春蚕教育,计算机软件未融资,0-20人,vue.js,移动开发_移动开发
中级移动端开发工程师,厦门·思明区·会展中心,11-20K,1-3年,本科,万里目成长,培训机构天使轮,1000-9999人,Java ReactNative android 小程序,移动开发_移动开发
H5开发工程师,厦门·思明区·软件园,13-20K,3-5年,本科,易航科技,计算机服务已上市,1000-9999人,Java H5 移动开发,移动开发_移动开发
java开发工程师,厦门,5-10K,经验不限,大专,英诺尔股份,电子/半导体/集成电路已上市,100-499人,Spring Hibernate Struts Java C# 开发,移动开发_移动开发
APP开发工程师,厦门·集美区·杏林,9-15k,1-3年,大专,中智维,互联网C轮,20-99人,移动端 Android IOS 小程序,移动开发_移动开发
辅料开发采购专员,厦门,5-8k,1-3年,大专,三六一度,服装/纺织/皮革已上市,10000人以上,服装辅料 面辅料 采购 开发,移动开发_移动开发
开发/加盟经理（厦门）,厦门·同安区·城南,6-8K,经验不限,大专,格林豪泰,旅游已上市,10000人以上,酒店 加盟 选址 开发 扫街,移动开发_移动开发
音视频开发工程师,厦门·湖里区·五缘湾,15-25K,经验不限,本科,稿定科技,互联网不需要融资,500-999人,音视频编解码,移动开发_移动开发
高级C++跨平台开发工程师,厦门,18-31k,3-5年,本科,美图公司,互联网已上市,1000-9999人,C++,移动开发_移动开发
移动端测试,厦门·湖里区·高崎,6-8K,1-3年,大专,联农科技,移动互联网不需要融资,0-20人,功能测试 iOS测试 Android测试 APP测试,测试_移动端测试
移动端测试,厦门·湖里区·五缘湾,4-5K,1-3年,本科,火池网络,移动互联网未融资,0-20人,软件测试 移动端测试,测试_移动端测试
中级测试工程师,厦门·思明区·软件园,10-15K,3-5年,大专,神州鹰,移动互联网D轮及以上,500-999人,接口测试 移动端测试 Python Linux,测试_移动端测试
测试工程师,厦门·思明区·软件园,5-7K,1-3年,学历不限,思汉信息,移动互联网不需要融资,20-99人,测试 软件测试 测试工程师 移动端测试 功能测试,测试_移动端测试
高级测试工程师,厦门·思明区·会展中心,18-26k,5-10年,大专,微微科技,互联网不需要融资,100-499人,测试工程师 自动化测试 移动端测试,测试_移动端测试
中高级测试工程师,厦门·湖里区·五缘湾,9-12K,3-5年,本科,卢司令,电子商务未融资,20-99人,测试 测试工程师 自动化测试 Python Shell,测试_移动端测试
客服测试专员（技术支持）,厦门·思明区·软件园,4-7k,经验不限,大专,厦门展联软件,计算机软件不需要融资,20-99人,黑盒测试 系统测试 web端测试 移动端测试,测试_移动端测试
产品测试工程师,厦门·思明区·观音山,4-6K,1-3年,本科,中云,计算机软件未融资,20-99人,测试 软件测试 性能测试 功能测试 web端测试,测试_移动端测试
测试工程师,厦门·思明区·软件园,5-10K,1-3年,学历不限,逸优逸乐,移动互联网A轮,20-99人,移动端测试 web端测试 android测试 ios测试,测试_移动端测试
测试工程师,厦门,6-10K,1-3年,本科,福建易联众保睿通...,医疗健康已上市,100-499人,接口测试 自动化测试 软件测试 功能测试,测试_移动端测试
测试工程师,厦门·思明区·观音山,8-13K,1-3年,大专,德谱家,电子商务未融资,20-99人,性能测试 功能测试 web端测试 移动端测试,测试_移动端测试
测试工程师（周末双休）,厦门,6-8K,经验不限,学历不限,悦讯科技,移动互联网A轮,100-499人,功能测试 移动端测试 web端测试,测试_移动端测试
软件测试工程师,厦门·思明区·莲花,6-9K,1-3年,大专,崛鼎科技,计算机软件未融资,20-99人,测试工程师 软件测试 功能测试 性能测试,测试_移动端测试
软件测试工程师,厦门·思明区·软件园,7-13k,1-3年,大专,麻花网络,互联网A轮,100-499人,软件测试 黑盒测试 功能测试 移动端测试,测试_移动端测试
手游测试主管,厦门,10-15K,3-5年,本科,厦门异次元,游戏未融资,20-99人,移动端测试 手游测试 卡牌游戏 Python SQL,测试_移动端测试
PT测试人员,厦门·湖里区·禾山,4-6K,经验不限,大专,峰佑电子,计算机软件,20-99人,功能测试 性能测试 系统测试 移动端测试,测试_移动端测试
测试工程师,厦门·集美区·杏林,5-9k,1-3年,大专,小蓝书,计算机软件未融资,0-20人,测试工程师 软件测试 自动化测试 计算机软件,测试_移动端测试
测试工程师,厦门·集美区·杏林,6-9K,1-3年,本科,厦门临下集团有限公司,电子商务未融资,20-99人,功能测试 APP测试 小程序测试 移动端测试,测试_移动端测试
测试工程师,厦门·集美区·杏林,5-8K,1-3年,本科,厦门聚页,计算机软件未融资,0-20人,黑盒测试 功能测试 性能测试 web端测试,测试_移动端测试
测试应用开发工程师,厦门·思明区·观音山,7-13k,经验不限,大专,厦门锐益达,智能硬件,20-99人,Android 移动端测试 Java C/C++ Linux,测试_移动端测试
测试工程师,厦门·集美区·杏林,5-7K,1-3年,大专,易致达,计算机软件天使轮,20-99人,软件测试 功能测试 web端测试 移动端测试,测试_移动端测试
测试工程师,厦门·思明区·观音山,6-11k,经验不限,大专,喵柚,互联网A轮,20-99人,软件测试 接口测试 功能测试 移动端测试,测试_移动端测试
测试工程师,厦门,4-9k,经验不限,大专,清大英商,企业服务,100-499人,测试工程师 软件测试 IOS 功能测试 web端测试,测试_移动端测试
web测试工程师,厦门·湖里区·五缘湾,6-10K,3-5年,本科,三维码科技,互联网B轮,20-99人,性能测试 接口测试 系统测试 iOS测试 小程序测试,测试_移动端测试
高级QC工程师,厦门·集美区·杏林,9-15k,1-3年,学历不限,真有趣游戏,游戏B轮,100-499人,QC管理 功能测试 性能测试 移动端测试,测试_移动端测试
测试（紫金矿业/双休/五险一金/长期稳定）,厦门·海沧区·未来海岸,10-15K,3-5年,大专,法本,计算机软件已上市,10000人以上,自动化测试 性能测试 web端测试 移动端测试,测试_移动端测试
测试工程师,厦门·集美区·厦门北站,5-9k,1-3年,本科,聚英教育,培训机构不需要融资,1000-9999人,软件测试 功能测试 web端测试 移动端测试,测试_移动端测试
测试,厦门·湖里区·高崎,6-7K,1-3年,大专,联农科技,移动互联网不需要融资,0-20人,测试 测试工程师 软件测试 功能测试 移动端,测试_移动端测试
APP测试工程师,厦门·思明区·软件园,5-10K,1-3年,学历不限,逸优逸乐,移动互联网A轮,20-99人,web端测试 移动端测试 android测试 ios测试,测试_移动端测试
测试主管,厦门·思明区·软件园,15-20K,5-10年,本科,厦门异次元,游戏未融资,20-99人,移动端测试 手游测试 卡牌游戏 冒险游戏 Python,测试_移动端测试
测试工程师,厦门·思明区·观音山,11-16k,经验不限,本科,厦门铃盛软件有限公司,计算机软件已上市,1000-9999人,软件测试 功能测试 接口测试 web端测试,测试_移动端测试
测试工程师,厦门·湖里区·高崎,6-8K,1-3年,大专,联农科技,移动互联网不需要融资,0-20人,软件测试 功能测试 web端测试 移动端测试,测试_移动端测试
功能测试,厦门·湖里区·高崎,6-8K,1-3年,大专,联农科技,移动互联网不需要融资,0-20人,软件测试 web端测试 系统测试 移动端测试,测试_移动端测试
算法工程师,厦门·湖里区·禾山,18-37k,经验不限,本科,yealink,通信/网络设备已上市,1000-9999人,语音算法 深度学习算法 C++ DNN CNN,人工智能_算法工程师
资深算法工程师,厦门,12-23k,3-5年,硕士,盈趣科技,智能硬件已上市,1000-9999人,视觉图像算法 C++ C#,人工智能_算法工程师
中级算法工程师,厦门·思明区·软件园,9-15k,3-5年,本科,福富公司,计算机软件不需要融资,1000-9999人,深度学习算法 视觉图像算法 算法设计 机器学习算法,人工智能_算法工程师
机器视觉算法工程师,厦门,13-25K,3-5年,本科,厦门力和行,电子/半导体/集成电路不需要融资,100-499人,视觉图像算法 算法设计 C++ C#,人工智能_算法工程师
算法工程师,厦门·集美区·杏林,10-15K,1-3年,本科,爱立得科技,智能硬件不需要融资,20-99人,深度学习算法 视觉图像算法 算法设计 机器学习算法,人工智能_算法工程师
算法工程师,厦门·集美区·杏林,10-15K,1-3年,硕士,今立方,计算机软件不需要融资,0-20人,NLP 深度学习算法 自然语言处理 智能问答,人工智能_算法工程师
AGV运动控制算法工程师,厦门·湖里区·五缘湾,16-21k,经验不限,学历不限,依思有限公司,服装/纺织/皮革未融资,1000-9999人,地图导航 计算机软件,人工智能_算法工程师
算法工程师,厦门·湖里区·塘边,12-25k,1-3年,本科,福建中科云杉,互联网A轮,100-499人,C++ Dijkstra 地图引擎 地图编译,人工智能_算法工程师
算法工程师,厦门·思明区·观音山,15-25K,3-5年,本科,蚂蚁日记,互联网未融资,20-99人,C++ C语言 分布式技术 区块链 Go,人工智能_算法工程师
图像算法移植工程师,厦门,15-20K,3-5年,本科,厦门科拓股份,智能硬件D轮及以上,1000-9999人,深度学习算法 机器学习算法 C++ Python PyTorch,人工智能_算法工程师
算法工程师,厦门,15-30K,1-3年,本科,三维码科技,互联网B轮,20-99人,视觉图像算法 C++,人工智能_算法工程师
算法工程师,厦门,15-25K,经验不限,本科,硕橙（厦门）科技...,企业服务B轮,20-99人,深度学习算法 语音算法 Python Pandas 机器学习,人工智能_算法工程师
算法工程师,厦门·集美区·杏林,14-25K,1-3年,硕士,物之联,计算机软件A轮,100-499人,运动控制算法 Matlab C++ C语言,人工智能_算法工程师
CV算法工程师,厦门·思明区·曾厝垵,25-50k,1-3年,硕士,深度赋智,互联网天使轮,20-99人,深度学习算法 视觉图像算法 TensorFlow PyTorch,人工智能_算法工程师
图像算法工程师,厦门,10-16k,1-3年,本科,松霖科技,智能硬件已上市,1000-9999人,深度学习算法 视觉图像算法 算法设计 机器学习算法,人工智能_算法工程师
SLAM算法工程师,厦门·集美区·杏林,13-26k,1-3年,本科,海峡智汇,计算机软件未融资,20-99人,视觉图像算法 运动控制算法 C++ Python,人工智能_算法工程师
算法工程师,厦门·湖里区·五缘湾,11-20K,3-5年,大专,天海欧康科技,物流/仓储B轮,100-499人,PLC,人工智能_算法工程师
算法工程师,厦门·湖里区·塘边,11-15K,经验不限,本科,麦克玛视,计算机软件未融资,100-499人,深度学习算法 视觉图像算法,人工智能_算法工程师
中级算法工程师,厦门·思明区·软件园,21-32k,3-5年,硕士,云脑科技,数据服务A轮,20-99人,知识图谱 深度学习 xgboost,人工智能_算法工程师
算法工程师,厦门·思明区·火车站,4-8K,经验不限,大专,佰仁会务,电子商务未融资,20-99人,深度学习算法 视觉图像算法,人工智能_算法工程师
算法工程师,厦门·集美区·侨英,7-12K,1-3年,本科,奥谱天成,仪器仪表/工业自动化未融资,100-499人,视觉图像算法 数据分析,人工智能_算法工程师
高级opencv算法工程师,厦门·集美区·日东,16-32k,经验不限,本科,厦门博视源,机械设备/机电/重工,20-99人,视觉图像算法 算法设计,人工智能_算法工程师
智能驾驶算法工程师,厦门,7-12K,1-3年,本科,唯识筋斗云,电子/半导体/集成电路未融资,0-20人,视觉图像算法 运动控制算法 算法设计,人工智能_算法工程师
算法工程师,厦门,8-14k,1-3年,本科,厦门威迪思,汽车生产未融资,20-99人,运动控制算法 C++ Python 地图导航,人工智能_算法工程师
图像算法工程师,厦门,15-30K,1-3年,本科,厦门微亚,仪器仪表/工业自动化不需要融资,100-499人,视觉图像算法 算法设计 C++ 计算机软件 opencv,人工智能_算法工程师
图像算法工程师,厦门·思明区·软件园,18-25k,3-5年,本科,星纵信息,通信/网络设备未融资,500-999人,深度学习算法 视觉图像算法 人脸识别,人工智能_算法工程师
图像算法工程师,厦门·湖里区·湖里大道,13-19k,1-3年,本科,思泰克智能,仪器仪表/工业自动化已上市,20-99人,视觉图像算法 算法设计 C++,人工智能_算法工程师
算法工程师,厦门·同安区·城南,26-46k,经验不限,硕士,威斯博特,互联网,20-99人,算法设计 深度学习算法 视觉图像算法 运动控制算法,人工智能_算法工程师
算法工程师,厦门·湖里区·禾山,11-22K,1-3年,本科,厦门邑通软件,企业服务未融资,100-499人,人工智能 深度学习算法 视觉图像算法 C# Python,人工智能_算法工程师
语音合成算法工程师,厦门·思明区·软件园,16-27k,1-3年,本科,天聪软件,计算机软件不需要融资,20-99人,算法设计 Python 语音算法 自然语言处理,人工智能_算法工程师
高级计算机视觉算法工程师,厦门·思明区·火车站,25-35K,3-5年,本科,指纹科技,电子商务未融资,500-999人,视觉图像算法 深度学习算法 Python TensorFlow,人工智能_算法工程师
算法工程师,厦门·思明区·观音山,18-19K,1-3年,本科,嗨米,游戏,20-99人,NLP JAVA 广告算法 深度学习算法,人工智能_算法工程师
机器学习算法工程师,厦门·集美区·杏林,10-15K,3-5年,本科,畅享信息,计算机软件不需要融资,100-499人,深度学习算法 Python 数据分析,人工智能_算法工程师
深度学习算法工程师,厦门·集美区·厦门北站,10-16k,1-3年,本科,诺博视,仪器仪表/工业自动化不需要融资,20-99人,深度学习算法 视觉图像算法 Python,人工智能_算法工程师
算法工程师,厦门,18-25K,3-5年,本科,福建众创车联网络...,企业服务A轮,100-499人,Python TensorFlow,人工智能_算法工程师
图像算法工程师,厦门·集美区·杏林,10-16k,1-3年,本科,威芯泰,机械设备/机电/重工未融资,20-99人,视觉图像算法 C# opencv halcon,人工智能_算法工程师
机器学习算法工程师,厦门,13-19k,1-3年,大专,直播吧,互联网未融资,100-499人,深度学习算法 视觉图像算法 自然语言处理 算法设计,人工智能_算法工程师
深度学习算法工程师,厦门·思明区·莲前,15-30K,经验不限,硕士,DeepAIT,计算机服务未融资,20-99人,深度学习算法 算法设计 Python TensorFlow Caffe,人工智能_算法工程师
深度学习算法工程师,厦门·思明区·厦门大学,20-40K,3-5年,硕士,黑镜科技,移动互联网天使轮,20-99人,深度学习算法 Python,人工智能_算法工程师
图像算法工程师,厦门·思明区·软件园,18-31k,3-5年,本科,星纵智能,计算机软件未融资,100-499人,人脸识别 车牌识别 目标检测,人工智能_算法工程师
图像算法工程师,厦门·思明区·观音山,15-25K,5-10年,本科,骐俊,通信/网络设备未融资,100-499人,算法基础 图形图像处理,人工智能_算法工程师
图像算法工程师,厦门·翔安区·新店,13-18k,1-3年,大专,憬承,机械设备/机电/重工未融资,0-20人,C++ C# 图像处理 OpenCV HALCON Python,人工智能_算法工程师
算法工程师,厦门,9-15k,1-3年,本科,厦门四信,通信/网络设备不需要融资,500-999人,深度学习算法 视觉图像算法 TensorFlow Caffe,人工智能_算法工程师
算法工程师,厦门·海沧区·东孚,10-14k,1-3年,本科,盈趣科技,智能硬件已上市,1000-9999人,深度学习算法 视觉图像算法 Python C++,人工智能_算法工程师
算法工程师,厦门·集美区·杏林,10-15K,3-5年,本科,爱立得科技,智能硬件不需要融资,20-99人,深度学习算法 视觉图像算法 算法设计 机器学习算法,人工智能_算法工程师
强化学习算法工程师,厦门,15-30K,1-3年,本科,渊亭科技,计算机软件A轮,100-499人,深度学习算法 算法设计 机器学习算法 CNN,人工智能_算法工程师
算法工程师,厦门·思明区·软件园,12-20K,1-3年,本科,美亚柏科,信息安全已上市,1000-9999人,视觉图像算法 深度学习算法,人工智能_算法工程师
图像算法应用工程师,厦门,10-15K,1-3年,本科,厦门科拓股份,智能硬件D轮及以上,1000-9999人,视觉图像算法 算法设计 C++,人工智能_算法工程师
机器视觉算法工程师,厦门·湖里区·塘边,17-23k,1-3年,硕士,福建中科云杉,互联网A轮,100-499人,深度学习算法 视觉图像算法 物联网 C++ Python,人工智能_算法工程师
SLAM算法工程师,厦门,11-21k,经验不限,本科,海峡智汇,计算机软件未融资,20-99人,视觉图像算法 运动控制算法 算法设计 C++,人工智能_算法工程师
图像算法工程师,厦门·湖里区·高崎,11-21k,3-5年,本科,碧驰信息,互联网已上市,20-99人,深度学习算法 视觉图像算法 Python Java,人工智能_算法工程师
AGV运动控制算法工程师,厦门·湖里区·五缘湾,10-15K,经验不限,硕士,天海欧康科技,物流/仓储B轮,100-499人,地图导航 计算机软件,人工智能_算法工程师
深度学习算法工程师,厦门,19-37k,1-3年,本科,厦门力和行,电子/半导体/集成电路不需要融资,100-499人,深度学习算法 C++ TensorFlow Caffe PyTorch,人工智能_算法工程师
语音识别算法工程师,厦门·思明区·软件园,16-27k,1-3年,本科,天聪软件,计算机软件不需要融资,20-99人,算法设计 语音算法,人工智能_算法工程师
深度学习算法工程师,厦门·湖里区·高崎,16-32k,3-5年,本科,厦门微亚,仪器仪表/工业自动化不需要融资,100-499人,深度学习算法 视觉图像算法 机器学习算法 DNN,人工智能_算法工程师
融合算法工程师,厦门·思明区·软件园,15-30K,1-3年,本科,芜湖盟博,计算机软件不需要融资,100-499人,Python 算法设计 Carmaker C++ 视觉图像算法,人工智能_算法工程师
机器学习算法工程师,厦门,10-15K,1-3年,本科,畅享信息,计算机软件不需要融资,100-499人,深度学习算法 Python 数据分析,人工智能_算法工程师
机器人软件算法工程师,厦门·思明区·软件园,9-18K,3-5年,本科,团队机器人,计算机软件不需要融资,0-20人,智能硬件 产品经理 移动产品,人工智能_算法工程师
图像算法工程师,厦门,17-35k,1-3年,硕士,影诺医疗,医疗健康A轮,20-99人,深度学习算法 视觉图像算法,人工智能_算法工程师
算法工程师,厦门·湖里区·塘边,11-20K,经验不限,本科,麦克玛视,计算机软件未融资,100-499人,视觉图像算法 深度学习算法 算法设计 机器学习算法,人工智能_算法工程师
深度学习算法工程师,厦门·集美区·日东,16-32k,经验不限,硕士,厦门博视源,机械设备/机电/重工,20-99人,深度学习算法 自然语言处理 算法设计 机器学习算法,人工智能_算法工程师
高级算法工程师,厦门·思明区·软件园,20-35K,5-10年,本科,云脑科技,数据服务A轮,20-99人,机器学习 深度学习 算法,人工智能_算法工程师
机器视觉算法工程师,厦门·思明区·软件园,14-27k,3-5年,本科,厦门力和行,电子/半导体/集成电路不需要融资,100-499人,视觉图像算法 算法设计 C++ C# 图像处理,人工智能_算法工程师
算法工程师,厦门·湖里区·五缘湾,10-15K,1-3年,本科,三维码科技,互联网B轮,20-99人,视觉图像算法 C++ C语言 Matlab,人工智能_算法工程师
图像算法工程师,厦门·湖里区·塘边,17-29k,1-3年,硕士,福建中科云杉,互联网A轮,100-499人,深度学习算法 视觉图像算法 算法设计 机器学习算法,人工智能_算法工程师
图像算法研究员,厦门,15-20K,3-5年,本科,厦门科拓股份,智能硬件D轮及以上,1000-9999人,视觉图像算法 算法设计 C++,人工智能_算法工程师
图像算法工程师,厦门,12-21k,经验不限,硕士,盈趣科技,智能硬件已上市,1000-9999人,视觉图像算法 C++ C# 图像处理 OpenCV,人工智能_算法工程师
图像算法工程师,厦门,16-32k,3-5年,本科,厦门微亚,仪器仪表/工业自动化不需要融资,100-499人,视觉图像算法 算法设计 C++ 图像处理 OpenCV,人工智能_算法工程师
计算机视觉算法工程师,厦门·集美区·杏林,17-35k,1-3年,硕士,影诺医疗,医疗健康A轮,20-99人,深度学习 医学影像,人工智能_算法工程师
图像算法工程师,厦门,12-24K,1-3年,本科,福信光电,智能硬件未融资,100-499人,视觉图像算法 算法设计 C++ 图像处理 OpenCV,人工智能_算法工程师
高级图像算法工程师,厦门·集美区·日东,8-13K,1-3年,本科,厦门博视源,机械设备/机电/重工,20-99人,视觉图像算法 图像处理 OpenCV,人工智能_算法工程师
图像算法,厦门·集美区·杏林,14-28k,经验不限,本科,海峡智汇,计算机软件未融资,20-99人,视觉图像算法 深度学习算法 算法设计 Python,人工智能_算法工程师
算法工程师,厦门·湖里区·五缘湾,20-21K,3-5年,本科,稿定科技,互联网不需要融资,500-999人,深度学习算法 视觉图像算法 Python C++ CNN,人工智能_算法工程师
中级算法工程师,厦门·思明区·软件园,15-20K,3-5年,本科,云脑科技,数据服务A轮,20-99人,机器学习 深度学习 算法,人工智能_算法工程师
深度学习算法工程师,厦门,18-35K,3-5年,本科,厦门力和行,电子/半导体/集成电路不需要融资,100-499人,深度学习算法 C++ TensorFlow Caffe PyTorch,人工智能_算法工程师
深度学习算法工程师,厦门·思明区·软件园,15-30K,3-5年,本科,渊亭科技,计算机软件A轮,100-499人,人工智能 深度学习 机器学习 自然语言处理,人工智能_算法工程师
图像算法应用工程师,厦门·思明区·观音山,8-12K,1-3年,本科,厦门科拓股份,智能硬件D轮及以上,1000-9999人,图形图像处理 C++ 视觉图像算法 算法设计,人工智能_算法工程师
算法工程师,厦门,14-19k,1-3年,本科,三维码科技,互联网B轮,20-99人,数据结构 图形图像处理 C++ 视觉图像算法,人工智能_算法工程师
图像算法工程师,厦门·湖里区·高崎,16-32k,3-5年,本科,厦门微亚,仪器仪表/工业自动化不需要融资,100-499人,视觉图像算法 算法设计 C++ 图像处理 OpenCV,人工智能_算法工程师
算法工程师,厦门·集美区·杏林,13-25K,1-3年,硕士,快商通,计算机软件B轮,100-499人,深度学习算法 语音算法 kaldi C++,人工智能_算法工程师
深度学习算法工程师,厦门,18-35K,1-3年,本科,厦门力和行,电子/半导体/集成电路不需要融资,100-499人,深度学习算法 C++ TensorFlow Caffe PyTorch,人工智能_算法工程师
高级算法工程师,厦门·思明区·软件园,21-37k,5-10年,本科,云脑科技,数据服务A轮,20-99人,反欺诈 算法建模 金融,人工智能_算法工程师
图像算法研究员,厦门·思明区·观音山,15-20K,3-5年,硕士,厦门科拓股份,智能硬件D轮及以上,1000-9999人,图形图像处理 C++ 视觉图像算法 算法设计,人工智能_算法工程师
图像算法工程师,厦门·思明区·软件园,13-25K,经验不限,硕士,易联众智鼎科技有...,互联网,100-499人,视觉图像算法 深度学习算法 算法设计 Python,人工智能_算法工程师
图像算法工程师,厦门·思明区·软件园,11-18K,经验不限,硕士,易联众智鼎科技有...,互联网,100-499人,深度学习算法 视觉图像算法 算法设计 Python,人工智能_算法工程师
